shot,dW,dli1,dkappa,t,sustain
21262,0.5140756,-0.17281216,0.0023257732,3.8306000642478466,0.0
21263,-0.3749823,0.049797297,-0.040818334,11.937799863517284,0.0
21265,-0.3625276,0.052808106,-0.038689494,11.910199653357267,0.0
21268,-0.16270435,-0.00073856115,-0.0202744,8.828599937260151,0.0
21273,0.20821008,-0.056087315,0.0038477182,8.355800062417984,0.0
21282,-0.5833401,0.07358384,-0.054733276,10.09180024266243,0.0
21347,0.9609316,-0.11251545,0.014967918,4.3218000791966915,0.0
21571,0.6181084,-0.08406258,-0.0015302896,5.667800083756447,0.0
21572,-0.4340672,0.029114425,-0.032970905,9.083400014787912,0.0
21584,-0.7614039,0.06154573,-0.050518155,10.405800305306911,0.0
21587,0.8007226,-0.12697077,-0.001026988,3.835800103843212,0.0
21588,0.0139684975,-0.050848305,-0.010748982,6.996199954301119,0.0
21591,-0.14770573,-0.01999247,-0.024938703,8.376199752092361,0.0
21592,-0.3791459,0.019504547,-0.02901876,8.60980013385415,0.0
21593,-0.8641168,0.07661533,-0.054124594,10.094999801367521,0.0
21594,0.95906633,-0.20591444,-0.010382414,3.051400068216026,0.0
21623,-0.7090967,0.08307785,-0.050061822,10.372200049459934,0.0
21626,0.6570825,-0.11507356,-0.0059998035,8.744200225919485,0.0
22285,-1.1895657,0.035388082,-0.03507161,5.57100004516542,0.0
22286,-3.6208675,0.14967409,-0.09609246,6.739400094375014,0.0
22287,-0.97160757,0.034354478,-0.040560365,6.105800159275532,0.0
22288,-2.3331034,0.08617723,-0.05422747,7.160600041970611,0.0
22289,-2.317181,0.080789745,-0.048344612,7.563000079244375,0.0
22290,-1.1181003,0.043001503,-0.04347539,6.043400149792433,0.0
22293,-0.64324695,0.043094873,-0.03284979,9.728199802339077,0.0
22294,-0.5092258,0.043266177,-0.03476703,8.938600309193134,0.0
22304,-8.713591,0.46936834,-0.06026709,12.307400349527597,0.0
22305,-0.57435673,0.0731591,-0.052217245,12.092600110918283,0.0
22306,0.5077029,-0.118682325,0.0054268837,3.6385999992489815,0.0
22576,-0.8507335,0.01518482,-0.05024457,8.598399814218283,0.0
22591,-1.30944,0.15940225,-0.08336425,9.583400096744299,0.0
22595,-0.7924856,0.07206565,-0.055203557,10.26219967752695,0.0
22597,-0.41975114,0.0063449144,-0.03747976,8.149400120601058,0.0
22599,-0.5603718,0.05185622,-0.051691055,8.917800150811672,0.0
22622,-0.39641678,0.01403752,-0.0152413845,5.55739994160831,0.0
22625,-2.0445569,0.0998984,-0.062462687,8.277799934148788,0.0
22626,-1.2485796,0.12817648,-0.06534219,8.371800184249878,0.0
22629,-1.004725,0.18478936,-0.049174905,10.751999914646149,0.0
22630,-1.6831889,0.118386835,-0.048605084,8.693600073456764,0.0
22631,-2.5480673,0.15524387,-0.07673478,8.470799773931503,0.0
22656,-0.8295336,0.051272452,-0.038360357,8.610600139945745,0.0
22657,-1.3928386,0.052892387,-0.05879402,8.6798002012074,0.0
22662,-0.19549103,-0.0027503967,-0.02886331,8.224199991673231,0.0
22664,-0.29262945,-0.017674387,-0.029063106,7.293000118806958,0.0
22666,-0.640854,0.042226553,-0.041709542,9.255799930542707,0.0
22669,-0.10809476,0.009987891,-0.032017946,9.066199883818626,0.0
22670,-1.9711186,0.13425899,-0.0800395,9.298599790781736,0.0
22678,-1.723841,0.10624415,-0.07594097,7.6333999168127775,0.0
22695,-0.85200906,0.020030588,-0.048056006,7.466599810868502,0.0
22697,-1.0445304,0.028202713,-0.0511837,6.762600038200617,0.0
22698,-1.380736,0.049694836,-0.04607761,7.765399757772684,0.0
22699,-0.5389944,0.010117769,-0.02228427,7.564199855551124,0.0
22708,-2.0675616,0.106729805,-0.056082487,8.946199901401997,0.0
22712,-0.57282,0.033478737,-0.034193635,9.043400175869465,0.0
22713,-1.7149104,0.07658601,-0.042339444,8.913800120353699,0.0
22714,-2.1518698,0.11485189,-0.05829239,8.816600311547518,0.0
22715,-1.7115854,0.07355833,-0.043972254,8.94419988617301,0.0
