shot,gun_flux_mWb
21262,117
21263,117
21265,116.6
21268,116
21271,121
21273,120
21282,127.5
21283,130.4
21290,125.4
21347,128.5
21571,128.6
21572,128.3
21584,124.3
21587,126.3
21588,131.3
21591,130.1
21592,130.2
21593,130
21594,129
21623,134.4
21624,134
21626,133
22285,98.6
22286,98
22287,98
22288,97.7
22289,97
22290,97.6
22293,96.8
22294,96.3
22295,96.3
22304,97.4
22305,96.7
22306,96.7
22307,96.6
22576,132
22591,131
22595,130
22597,129
22599,129
22622,90.5
22625,89.7
22656,133
22657,132.7
22662,131.3
22664,130.7
22666,131
22669,129
22670,129
22676,131.2
22678,130
22695,129
22696,129.5
22697,129
22698,128.6
22699,128.5
22708,130.3
22710,130
22712,136
22713,136
22714,136
22715,135
22716,135
22717,134.6
22718,134.4
22726,139.4
22727,139.7
22728,139.5
22729,137.9
22731,137.7
22732,137.2
22733,137.2
22734,136.7
22735,136.6
22736,136.1
22737,136
22742,136
22743,136
22744,135
22745,135
22746,134.6
22747,134.6
22750,133
22751,133.7
22752,133.3
22753,132.7
22754,132.3
22755,133
22800,120.5
22801,107.6
22804,114.5
22805,129.7
22806,132.8
22807,134.6
22808,135
22809,126
22811,137
22812,137
22817,138
22818,139.5
22820,133.6
22821,137.6
22822,135.4
22823,138
22824,141
22826,140.5
22840,128
22842,128
22843,127.5
22844,127.4
22881,128.2
22884,128
22885,128
22886,127.3
22915,115
22990,140
