shot,note
21087,early_or_normal_crash
21089,early_or_normal_crash
21095,early_or_normal_crash
21097,early_or_normal_crash
21098,early_or_normal_crash
21099,early_or_normal_crash
21100,early_or_normal_crash
21101,early_or_normal_crash
21102,early_or_normal_crash
21103,early_or_normal_crash
21104,early_or_normal_crash
21105,early_or_normal_crash
21111,early_or_normal_crash
21112,early_or_normal_crash
21113,early_or_normal_crash
21114,early_or_normal_crash
21116,early_or_normal_crash
21117,early_or_normal_crash
21118,early_or_normal_crash
21168,early_or_normal_crash
21170,early_or_normal_crash
21171,early_or_normal_crash
21174,early_or_normal_crash
21175,early_or_normal_crash
21178,early_or_normal_crash
21179,early_or_normal_crash
21186,early_or_normal_crash
21240,early_or_normal_crash
21244,early_or_normal_crash
21249,early_or_normal_crash
21251,early_or_normal_crash
21255,early_or_normal_crash
21257,early_or_normal_crash
21324,early_or_normal_crash
21326,early_or_normal_crash
21329,early_or_normal_crash
21376,early_or_normal_crash
21377,early_or_normal_crash
21378,early_or_normal_crash
21380,early_or_normal_crash
21381,early_or_normal_crash
21382,early_or_normal_crash
21392,early_or_normal_crash
21397,early_or_normal_crash
21398,early_or_normal_crash
21399,early_or_normal_crash
21400,early_or_normal_crash
21460,early_or_normal_crash
21461,early_or_normal_crash
21548,early_or_normal_crash
21549,early_or_normal_crash
22600,early_or_normal_crash
22605,early_or_normal_crash
22672,early_or_normal_crash
22703,early_or_normal_crash
21107,no_crash
21108,no_crash
21204,no_crash
21206,no_crash
21209,no_crash
21246,no_crash
21248,no_crash
22592,no_crash
22594,no_crash
22677,no_crash
21106,small_crash
21186,small_crash
21207,small_crash
21208,small_crash
21375,small_crash
21383,small_crash
21394,small_crash
21396,small_crash
21458,small_crash
21492,small_crash
21546,small_crash
22719,small_crash
22814,small_crash
21115,late_crash
21119,late_crash
21318,late_crash
21323,late_crash
21379,late_crash
21393,late_crash
22596,late_crash
22598,late_crash
22603,late_crash
22701,late_crash
22813,late_crash
21330,weird_or_fluctuations
21331,weird_or_fluctuations
21395,weird_or_fluctuations
21447,weird_or_fluctuations
21448,weird_or_fluctuations
21449,weird_or_fluctuations
21451,weird_or_fluctuations
21452,weird_or_fluctuations
21454,weird_or_fluctuations
21456,weird_or_fluctuations
21463,weird_or_fluctuations
21550,weird_or_fluctuations
21640,weird_or_fluctuations
21641,weird_or_fluctuations
21642,weird_or_fluctuations
21643,weird_or_fluctuations
21645,weird_or_fluctuations
21646,weird_or_fluctuations
21651,weird_or_fluctuations
21652,weird_or_fluctuations
21653,weird_or_fluctuations
21655,weird_or_fluctuations
22218,weird_or_fluctuations
22756,weird_or_fluctuations
