shot,double_crossing_at_crash
21587,True
21626,True
22285,True
22286,True
22287,True
22288,True
22289,True
22290,True
22306,True
22599,True
22622,True
22625,True
22657,True
22662,True
22664,True
22670,True
22695,True
22697,True
22699,True
22708,True
22713,True
22714,True
22715,True
22716,True
22717,True
22728,True
22729,True
22731,True
22732,True
22733,True
22734,True
22735,True
22736,True
22737,True
22742,True
22743,True
22744,True
22745,True
22746,True
22747,True
22750,True
22751,True
22752,True
22753,True
22754,True
22804,True
22805,True
22806,True
22807,True
22808,True
22809,True
22812,True
22824,True
22826,True
22840,True
22844,True
22886,True
21262,False
21263,False
21265,False
21268,False
21273,False
21282,False
21347,False
21571,False
21572,False
21584,False
21588,False
21591,False
21592,False
21593,False
21594,False
21623,False
22293,False
22294,False
22304,False
22305,False
22576,False
22591,False
22595,False
22597,False
22656,False
22666,False
22669,False
22678,False
22698,False
22712,False
22718,False
22755,False
22811,False
22817,False
22818,False
22820,False
22821,False
22822,False
22823,False
22842,False
22843,False
22881,False
22884,False
22885,False
22915,False
